id,product_name,price,stock,date_added
113,Smart Water Bottle with Hydration Reminder,$334270.48,11,26/4/2022
114,Cotton Tote Bag Set,$871279.18,10,9/10/2023
115,Barbecue Chicken Pizza,$523446.17,13,24/6/2020
116,Sweet Potato Tots,$553490.96,19,15/7/2024
117,Chocolate Fudge Ice Cream,$671308.69,14,24/6/2025
118,Thermostatic Shower Valve Kit,$154573.57,9,1/7/2021
119,Reusable Food Storage Bags,$347883.68,6,18/11/2023
120,Desk Lamp with USB Port,$685829.46,13,8/3/2024
121,Chia Seeds,$809132.03,14,8/5/2020
122,Beef Chili,$812838.39,10,5/9/2020
123,Mediterranean Flatbread,$894681.97,5,27/7/2024
124,Chocolate Chip Pancake Mix,$91383.89,9,30/12/2025
125,Digital Food Scale,$762355.15,1,17/6/2024
126,Reusable Snack Bags,$67354.52,17,26/12/2024
127,Brown Sugar,$583606.24,1,4/6/2022
128,Electric Stool Heater,$684213.98,18,9/5/2023
129,Ramen Noodles,$711017.80,7,14/3/2020
130,Smartphone UV Sanitizer,$931824.55,16,20/8/2021
131,Pesto Genovese,$278747.89,10,6/3/2022
132,Set of Measuring Spoons,$489458.26,8,5/5/2025
133,Set of Herb Garden Markers,$826491.73,3,12/7/2021
134,Wrap Front Midi Skirt,$953415.73,20,6/9/2022
135,Spicy Snack Mix,$832467.67,9,31/8/2024
136,Balsamic Salad Dressing,$735822.03,12,10/3/2021
137,Lightweight Workout Tank,$858066.57,8,26/1/2024
138,Ribbed Knit Dress,$596772.33,20,20/8/2021
139,Stylish Wide-Leg Trousers,$41509.07,6,30/3/2020
140,Green Smoothie Mix,$855939.05,5,6/11/2025
141,Lemon Garlic Marinade,$970417.58,13,19/7/2025
142,Crispy Onion Rings,$989194.41,19,7/3/2025
143,Oven-Baked Chicken Tenders,$833234.26,5,15/2/2020
144,Dog Waste Bag Dispenser,$575648.56,17,2/8/2021
145,Face Mask Set,$400768.19,2,30/7/2023
146,Garlic Naan Bread,$413197.83,20,26/3/2023
147,Portable Speaker Stand,$248913.60,6,23/7/2022
148,Multi-Tool,$614311.68,19,10/6/2022
149,Herbal Tea Variety Pack,$391475.05,14,9/2/2023
150,Air Mattress,$459074.42,19,19/7/2023
151,Chickpea Salad Deluxe,$341031.45,19,10/9/2022
152,Travel Size Toiletry Bottles,$257996.37,8,1/12/2025
153,Whole Wheat Bread,$996172.07,2,22/8/2022
154,Peanut Butter Chocolate Clusters,$491125.59,4,23/6/2023
155,Pine Nuts,$358659.61,4,25/8/2023
156,Adjustable Pet Feeder,$590372.29,1,22/10/2021
157,Hand Crank Blender,$35664.61,11,22/5/2024
158,Smoked Paprika Chicken Thighs,$562391.79,18,23/11/2024
159,Coconut Milk Yogurt,$638023.60,14,11/6/2020
160,Raspberry Tart,$725676.06,1,14/3/2023
161,Coconut Cream Pie Yogurt,$947677.04,18,7/5/2023
162,Watercolor Paint Set,$148708.30,13,12/7/2023
163,Rechargeable Electric Toothbrush,$166552.41,8,6/11/2021
164,Wall Decals for Kids,$782889.17,10,29/9/2023
165,Stylish Wide-Leg Trousers,$220655.26,5,17/3/2020
166,Spaghetti Squash,$142844.86,4,27/6/2023
167,Strawberry Fruit Spread,$738702.67,9,8/12/2021
168,Car Emergency Kit,$960361.69,11,1/4/2024
169,Lemon Herb Grilled Chicken,$155915.21,9,14/2/2022
170,USB Wall Charger,$712870.18,2,12/11/2020
171,Asian Stir-Fry Kit,$549304.62,19,22/5/2024
172,Portable Dog Water Bottle,$831134.31,19,3/8/2021
173,Sweet Corn,$100686.88,5,28/10/2025
174,Spinach and Cheese Stuffed Shells,$162062.30,15,15/5/2021
175,Customizable Photo Calendar,$928532.85,8,8/8/2024
176,Chocolate Chip Muffins,$9667.84,20,25/4/2023
177,Zucchini Noodles,$465741.74,19,6/7/2025
178,LED Makeup Mirror,$478230.09,13,11/6/2022
179,Dark Chocolate Bars,$574304.25,2,17/4/2020
180,LED Christmas Lights,$709300.48,18,29/12/2024
181,Vegan Chickpea Salad,$763791.59,11,12/12/2025
182,Thai Peanut Dressing,$92490.42,17,2/11/2020
183,Ceramic Knife Set,$677044.22,4,8/5/2022
184,Personal Blender with Travel Lid,$286592.64,17,30/10/2025
185,Kids' Art Easel,$991466.89,3,3/11/2020
186,Baby Safety Corner Guards,$638642.13,12,14/9/2023
187,Knitted Infinity Scarf,$810936.27,2,29/12/2022
188,Vintage Graphic Tee,$190121.99,18,7/11/2025
189,Desk Organizer Set,$114765.98,7,5/7/2022
190,Miso Soup Mix,$556274.68,18,19/2/2023
191,Cheddar & Bacon Potato Skins,$656166.16,18,28/12/2024
192,Travel Laundry Bag,$810212.72,16,15/4/2025
193,Tactical Backpack,$5026.56,9,5/7/2020
194,Jasmine Rice,$103759.49,9,22/12/2024
195,Cheddar Cheese Crackers,$872013.50,5,6/8/2020
196,Multi-Function Smartphone Holder,$677738.24,14,30/1/2020
197,Classic BBQ Sauce,$275765.90,1,31/3/2023
198,Cable Knit Beanie,$495359.07,5,20/2/2022
199,Vegetable and Cheese Quesadillas,$128915.52,2,2/11/2022
200,V-Neck Sweater,$367632.46,13,7/10/2025
201,High-Speed HDMI Cable,$969641.51,17,5/11/2020
202,Honey BBQ Riblets,$740055.99,7,6/6/2021
203,Sliced Bread,$927502.52,13,23/6/2021
204,Wooden Puzzle Game,$45255.34,3,19/8/2024
205,Turkey Bacon,$388430.53,9,16/2/2023
206,Miso Soup Mix,$429261.22,12,7/1/2025
207,Slim Fit Chinos,$541160.42,6,21/10/2023
208,Chic Jumpsuit,$284416.81,12,10/11/2024
209,Mini Hand Gesture Drone,$987704.60,6,20/5/2025
210,Spicy Kimchi,$55389.42,12,28/9/2024
211,Portable Blender,$59214.63,7,9/6/2023
212,Baked Mac and Cheese,$732957.41,19,7/8/2023
213,High-Speed Blender,$675079.42,6,31/5/2024
214,Animal Paw Print Soap Dispenser,$523710.44,16,19/12/2023
215,Foam Muscle Roller,$874339.93,10,2/2/2024
216,Classic Caesar Dressing,$871462.26,9,23/4/2022
217,Caribbean Jerk Marinade,$518430.78,20,10/6/2022
218,Mediterranean Couscous,$217301.22,18,31/8/2022
219,Chocolate Mint Cookies,$45548.94,11,16/12/2025
220,Classic BBQ Sauce,$255795.84,11,7/10/2021
221,Hiking Water Bottle with Filter,$56658.39,19,27/11/2022
222,Electric Meat Grinder,$653863.70,3,18/5/2024
223,Sea Salt Caramel Popcorn,$172904.20,8,24/11/2020
224,Spinach and Feta Stuffed Chicken Breast,$30795.68,7,21/8/2024
225,Coconut Cream,$507010.65,10,6/4/2023
226,Teriyaki Beef Jerky,$758056.20,11,29/1/2024
227,Baked Potato Chips,$289416.35,20,16/1/2023
228,Bamboo Toothbrush,$28466.08,13,23/1/2023
229,Wireless Range Extender,$302995.56,10,28/3/2025
230,Classic White T-Shirt,$32963.16,18,26/1/2024
231,Couscous,$885533.40,12,23/3/2023
232,Coconut Oil,$203738.70,17,26/12/2024
233,Salt and Pepper Grinder Set,$254149.13,11,2/3/2022
234,Honey Mustard Dip,$696703.08,3,30/9/2020
235,Vegetable and Cheese Quesadillas,$56497.99,2,17/3/2020
236,Organic Tomato Soup,$989044.41,16,17/6/2023
237,Chickpeas,$171266.86,6,8/3/2025
238,Lightweight Travel Backpack,$426292.57,13,3/5/2023
239,Maple Glazed Carrots,$734675.36,6,26/4/2020
240,Athletic Jogging Jacket,$688741.14,13,28/9/2025
241,Peanut Butter Chocolate Clusters,$641563.84,4,10/12/2020
242,Blue Denim Jeans,$51902.45,9,2/2/2024
243,Caramelized Onion Dip Mix,$374767.12,12,3/5/2023
244,Telescope,$511214.62,1,15/11/2024
245,Maple Bacon Jerky,$288626.84,2,1/5/2020
246,Brown Sugar,$253231.65,7,22/12/2023
247,Vegetable and Cheese Quesadillas,$948371.59,6,26/9/2021
248,Spinach and Cheese Stuffed Shells,$409090.52,12,12/3/2022
249,Sesame Seeds,$754636.68,19,11/7/2022
250,Luxe Velvet Blazer,$722624.74,10,14/11/2024
251,Wall-Mounted Wine Rack,$201348.57,18,1/3/2025
252,Samsung Galaxy Smartwatch,$813798.46,8,17/9/2023
253,Ceramic Cookware Set,$322162.45,7,8/1/2022
254,Sesame Ginger Dressing,$209863.06,9,1/5/2025
255,Cocoa Powder,$422573.65,1,25/11/2024
256,Reversible Swimming Pool Lounger,$12731.14,9,15/7/2022
257,Cinnamon Roll Protein Bar,$945016.07,4,6/9/2022
258,Garlic Herb Grilled Chicken,$900673.81,4,18/8/2025
259,Classic Minestrone Soup,$17888.95,13,17/6/2021
260,Peanut Butter Banana Smoothie Mix,$836905.94,20,30/6/2025
261,LED Strip Lights,$769969.12,14,22/8/2020
262,Portable Folding Picnic Table,$652182.61,20,3/9/2024
263,Chocolate Hazelnut Granola,$255554.51,14,7/9/2021
264,Caramel Apple Chips,$239509.87,15,24/11/2024
265,Jennifer's Amazing Lip Balm Kit,$868493.81,16,18/3/2021
266,Lemon Sorbet,$413744.91,20,3/9/2020
267,Canned Black Beans,$432094.60,12,1/7/2021
268,Travel Luggage Scale,$44368.38,13,6/3/2022
269,Strawberry Banana Smoothie Pack,$346252.55,1,24/9/2020
270,Portable Pet Bathing Tool,$210302.71,16,10/1/2026
271,Utility Cargo Pants,$763802.61,20,17/1/2022
272,Spicy Chicken Wings,$815871.03,1,9/8/2024
273,Magnetic Chess Set,$553212.14,13,21/6/2023
274,Compact Pop-Up Tent,$968321.04,19,16/10/2024
275,Digital Wireless Meat Thermometer,$598417.95,20,26/1/2024
276,Margherita Pizza,$756980.28,7,17/8/2023
277,Grilled Veggie Burgers,$983307.12,20,16/5/2024
278,Casual Cropped Sweater,$764876.41,16,10/4/2020
279,Green Tea Matcha Powder,$808182.33,17,24/11/2021
280,Wireless Printer,$409079.06,1,7/5/2020
281,Wall-Mounted Bookshelf,$11018.80,18,9/7/2020
282,Classic Black Dress,$530068.77,18,5/9/2024
283,Garlic Breadsticks,$492811.35,5,4/1/2020
284,Organic Cereal Bars,$378978.77,13,14/3/2024
285,Reversible Comforter Set,$368914.77,6,28/5/2023
286,Pet Bed with Removable Cover,$627068.13,6,29/9/2022
287,Kale Chips,$629689.24,13,1/1/2020
288,Pet Training Clicker,$316988.70,8,14/9/2023
289,Vegetable Quinoa Bowl,$447803.26,8,7/4/2021
290,Tabletop Fire Pit,$167318.28,19,1/3/2024
291,Indoor Grill,$854731.72,4,12/3/2024
292,Curried Lentil Salad,$447075.48,14,13/8/2023
293,Cranberry Orange Juice,$160254.23,17,21/8/2021
294,Garden Hoses with Expandable Features,$407694.56,7,12/11/2021
295,Peanut Butter Filled Pretzels,$901932.62,6,25/9/2021
296,Infrared Space Heater,$571945.08,5,9/6/2023
297,Tailgating Set,$735284.99,18,3/2/2021
298,Wooden Blocks,$568548.36,14,9/11/2025
299,Garden Vegetable Chips,$861843.21,7,8/9/2023
300,Pesto Genovese,$949213.88,10,29/4/2020
301,Electric Fondue Pot,$62803.21,5,1/7/2021
302,Coconut Chia Pudding,$400415.25,16,16/9/2022
303,Training Soccer Ball,$377480.19,5,12/9/2024
304,Mint Chocolate Chip Ice Cream,$907882.56,6,2/3/2023
305,Herbed Mushroom Risotto,$171946.47,10,8/3/2020
306,Organic Green Lentils,$462873.13,9,27/12/2025
307,Whole Grain Hamburger Buns,$879574.64,8,23/12/2024
308,Garden Hose Reel,$949630.72,8,18/1/2020
309,Organic Granola Cereal,$500581.92,17,18/3/2021
310,Kale Chips,$119653.38,17,18/9/2021
311,Almond Quinoa Salad,$679118.96,14,5/3/2022
312,Warm Knit Beanie,$394016.70,13,2/9/2020
313,Maple Bacon Jerky,$282526.93,20,2/11/2025
314,Cranberry Orange Oatmeal,$608950.10,6,10/1/2024
315,Orange Ginger Vinaigrette,$517879.61,6,18/12/2025
316,Mini Meatballs,$782048.84,3,12/3/2022
317,Electrolyte Water Bottle,$799799.06,14,13/11/2022
318,Stylish Wide-Leg Trousers,$902132.78,8,21/6/2020
319,Microfiber Cleaning Cloth Set,$432407.56,14,3/4/2023
320,Savory Italian Herbs,$701249.25,2,30/5/2025
321,Pet Carrier,$784543.90,6,27/7/2020
322,Garlic and Herb Cream Cheese,$520262.39,3,23/3/2023
323,USB Wall Charger,$720166.46,12,9/6/2020
324,Durable Hiking Boots,$604292.31,9,13/2/2023
325,Whole Roasted Chicken,$598910.01,9,9/11/2023
326,Garlic Parmesan Roasted Nuts,$737530.76,14,18/7/2021
327,Personalized Keychain,$958196.81,14,26/11/2025
328,Protein Bar Variety Pack,$554161.93,17,3/11/2024
329,Non-Toxic Crayons for Kids,$582320.12,15,13/8/2022
330,Gardening Gloves,$307720.49,2,6/1/2023
331,Caraway Rye Bread,$714982.39,12,14/11/2023
332,Coffee Grinder,$354197.97,15,29/11/2022
333,Garlic Herb Grilled Chicken,$583787.94,6,25/7/2022
334,Vegetable Stir-Fry Kit,$719758.62,12,18/4/2021
335,Adjustable Skipping Rope,$425127.73,6,9/7/2022
336,Roasted Garlic Butter,$720389.83,14,26/2/2020
337,Fitness Resistance Bands Kit,$17215.45,14,2/5/2023
338,Baby Safety Corner Guards,$288609.03,19,24/11/2022
339,Antique Style Clock,$416079.54,14,19/7/2023
340,Dog Frisbee Toy,$193690.64,16,4/5/2023
341,Electric Hot Pot,$244897.94,9,6/4/2025
342,Zucchini,$217881.56,12,5/7/2023
343,Coffee Making Kit,$136143.51,17,3/8/2025
344,Woven Storage Baskets,$125562.57,19,6/8/2025
345,Organic Cucumber,$451447.91,9,20/9/2020
346,Warm Knit Beanie,$290147.50,10,10/6/2024
347,Mayonnaise,$822889.88,13,14/10/2021
348,Adjustable Laptop Desk,$640194.69,17,12/7/2021
349,Cranberry Almond Granola,$204706.63,13,9/10/2025
350,Almond Milk Yogurt,$169475.16,2,18/8/2020
351,Caribbean Jerk Marinade,$487492.32,16,17/6/2025
352,Smart LED Desk Lamp,$320796.61,7,26/5/2025
353,Pleated Midi Dress,$410592.22,11,21/11/2024
354,Pet Waterer with Filtration,$760809.29,9,31/12/2022
355,Honey Roasted Almonds,$802758.21,14,28/1/2025
356,Teriyaki Salmon Fillets,$565352.33,16,28/9/2023
357,Pasta (Fusilli),$547409.96,1,25/1/2020
358,Whole Grain Hamburger Buns,$566829.69,11,29/3/2024
359,Wireless Charger,$748580.48,11,29/1/2025
360,Pomegranate Juice,$826455.49,3,24/4/2024
361,Honey-Balsamic Vinaigrette,$234434.15,6,23/2/2022
362,Cinnamon Spiced Almonds,$995854.30,15,23/7/2022
363,Electric Heat Pad,$117961.79,20,30/12/2021
364,Cat Tree with Scratching Posts,$984588.04,18,27/2/2020
365,Magnetic Phone Case,$669365.01,8,13/9/2023
366,Whole Grain Mustard,$706142.99,6,29/9/2022
367,Yoga Strap,$335337.90,6,22/12/2025
368,Tandoori Chicken Marinade,$607290.85,7,24/9/2022
369,Low-Fat Yogurt,$276286.21,3,24/12/2024
370,Wall Calendar,$366077.91,12,1/5/2023
371,Maple Bacon Popcorn,$114353.11,6,13/12/2024
372,Eco-Friendly Disposable Plates,$327009.49,14,4/8/2024
373,Californian Raisins,$954850.70,3,21/7/2021
374,Tropical Fruit Bowl,$522796.20,4,31/8/2024
375,Sesame Garlic Noodles,$572437.13,15,20/11/2022
376,Almond Flour Brownies,$837906.72,13,15/7/2023
377,Garlic Herb Seasoning,$196018.15,13,16/2/2025
378,Sweet BBQ Dipping Sauce,$833654.79,13,22/9/2020
379,Biodegradable Dog Waste Bags,$927969.19,16,30/4/2020
380,Creamy Avocado Dip,$775467.77,9,25/4/2020
381,Chipotle Black Bean Burger,$73837.01,14,19/2/2021
382,Car Emergency Kit,$674258.84,12,17/11/2025
383,Vegetarian Sausage Links,$35806.55,16,22/11/2023
384,Chunky Knit Sweater,$878014.81,17,28/2/2021
385,Spicy Italian Sausage,$753498.75,6,25/1/2025
386,Tailgating Set,$44093.53,4,20/3/2020
387,Tabletop Fire Pit,$974034.21,7,29/3/2024
388,Mediterranean Flatbread,$872118.88,19,3/11/2020
389,Shredded Cheese,$941216.27,12,1/7/2021
390,Dried Fruit Medley,$435389.84,14,15/11/2024
391,Canned Coconut Milk,$348285.84,11,8/4/2023
392,Nut Butter Cups,$810494.05,13,13/4/2024
393,Jasmine Rice,$775573.51,9,29/1/2024
394,Portable Charger with Solar Panel,$129260.41,20,2/7/2020
395,Mango Chia Pudding,$492256.70,6,17/8/2020
396,Sliced Cucumbers,$948049.00,18,12/5/2025
397,Leather Notebook Cover,$602447.84,11,16/8/2020
398,Relaxed Fit Henley Shirt,$770394.87,12,10/5/2021
399,Portable Massage Gun,$300843.27,9,28/6/2021
400,Matcha Green Tea Powder,$968698.84,7,9/10/2021
401,Window A/C Unit,$390512.31,12,29/10/2021
402,Body Wash,$987230.53,14,20/3/2025
403,Classic Baseball Cap,$901757.75,19,14/11/2021
404,Compact Refrigerator,$281188.37,13,13/2/2020
405,Whisk Set,$186937.06,5,23/7/2023
406,Mango Chunks,$907567.44,3,29/10/2020
407,Car Windshield Sun Shade,$837381.28,7,17/5/2024
408,Travel Pillow with Memory Foam,$667964.05,8,15/8/2020
409,Cauliflower Crust Pizza,$29394.11,16,12/6/2025
410,Relaxed Fit Henley Shirt,$478022.30,1,21/1/2025
411,Sweet Corn,$125223.84,1,24/3/2022
412,Vegan Mac & Cheese,$366028.85,15,13/8/2022
413,Home Office Chair,$518101.85,13,9/3/2022
414,Stainless Steel Mixing Bowls,$22861.86,8,17/3/2022
415,Magnetic Phone Case,$552015.97,14,29/5/2021
416,Sporty Slide Sandals,$596679.86,3,28/3/2020
417,Decorative Wall Tapestry,$859999.44,12,20/9/2020
418,Cranberry Almond Biscotti,$381561.85,10,27/9/2023
419,Oven-Baked Sweet Potato Fries,$981974.53,18,12/8/2023
420,Pumpkin Puree,$665266.84,17,13/8/2025
421,Yoga Blocks,$156127.67,19,21/4/2024
422,Cookbook,$569569.07,3,9/5/2024
423,Wi-Fi Enabled Smart Light Switch,$354492.03,14,12/4/2023
424,Sea Salt Caramel Brownie,$329705.27,20,29/12/2021
425,Organic Quinoa Salad,$501259.34,8,18/1/2022
426,Tailgating Set,$157605.94,10,3/9/2025
427,Sriracha Honey Glaze,$396809.80,4,16/1/2022
428,Hiking Water Bottle with Filter,$374571.96,20,4/11/2023
429,Stainless Steel Cutlery Set,$930808.93,5,29/1/2020
430,Multi-Purpose Marine Rope,$795914.53,2,31/12/2025
431,Eco-Friendly Notepad,$599212.77,19,5/1/2022
432,Puffer Winter Coat,$469048.11,5,31/7/2020
433,Falafel Mix,$766909.21,11,20/4/2020
434,Sweet Corn,$261216.91,15,8/5/2025
435,Self-Watering Planters,$4258.40,2,13/1/2024
436,Banana Peanut Butter Smoothie,$15518.69,14,10/4/2022
437,Reusable Snack Bags,$82311.71,19,8/1/2024
438,Cat Scratching Post with Toys,$334298.48,16,18/11/2021
439,Luxury Memory Foam Mattress Topper,$879992.89,4,27/1/2023
440,Pest Control Traps,$186353.12,10,1/7/2024
441,Silicone Ice Cube Tray,$571858.30,16,17/1/2023
442,Banana Nut Muffins,$440161.29,13,11/2/2024
443,Wireless Keyboard and Mouse Combo,$759506.03,10,11/7/2022
444,Bike Repair Tool Kit,$130704.63,12,19/6/2020
445,Electric Razor,$654789.52,15,26/3/2020
446,Fitbit Activity Tracker,$342109.43,4,28/8/2024
447,Eco-Friendly Cleaning Cloths,$452013.95,15,24/7/2020
448,Handheld Vacuum,$697297.05,11,9/4/2023
449,Bluetooth Sleep Headphones,$184874.18,2,1/2/2023
450,Fresh Basil,$357986.84,19,11/3/2021
451,Essential Oil Roller Bottles,$111331.80,19,21/12/2022
452,Wireless Induction Charger,$229798.70,1,12/4/2021
453,High-Pressure Handheld Shower Head,$910692.81,7,12/7/2024
454,Camera Tripod,$767965.81,18,9/6/2022
455,Greek Feta Cheese,$501206.04,19,3/3/2025
456,LED Strip Lights Kit,$95317.93,20,15/4/2022
457,Honey Garlic Sauce,$469811.69,19,21/8/2024
458,Bluetooth Sleep Headphones,$504389.85,13,28/3/2024
459,Kids' Activity Book,$95982.29,3,14/1/2022
460,Dried Mango Slices,$18126.81,15,7/2/2022
461,Non-Toxic Crayons for Kids,$116499.72,18,14/6/2022
462,Honey Wheat Pretzels,$468067.60,16,17/3/2020
463,Personal Blender with Cups,$625561.20,1,22/12/2021
464,Blue Corn Tortilla Chips,$170895.74,2,5/12/2021
465,Artisan Bread Loaf,$288585.29,12,6/7/2021
466,Brown Sugar,$974663.76,4,9/3/2020
467,Golf Putting Green,$985096.07,14,27/4/2022
468,Lockable Bicycle Chain,$533012.13,12,13/7/2022
469,Toilet Paper (12 rolls),$580675.72,9,28/5/2024
470,Maple Pecan Granola,$196940.16,13,11/8/2021
471,Noise-Canceling Earbuds,$426157.67,15,20/6/2021
472,Electric Kettle,$904354.52,5,21/1/2020
473,Tattoo Kit,$918609.26,3,24/6/2022
474,Portable Laptop Table,$383379.70,10,14/1/2022
475,Honey Nut Cheerios,$531220.07,2,4/7/2025
476,Coconut Macaroons,$231930.06,12,30/12/2025
477,Salsa Verde,$778901.73,4,18/9/2024
478,Handmade Wooden Utensil Set,$588103.81,6,9/12/2021
479,Ceramic Non-Stick Frying Pan,$113996.62,1,7/11/2022
